[177775ns] [INFO] create a client socket: 3 Success
[189209ns] [INFO] create a server socket: 3
[202805ns] [INFO] server running on port 8080
[3608035327ns] [INFO] connection succeed to client socket number: 3
[3608290946ns] [INFO] SRC 1 DST 0 received packet number: 0, of messageId: 0 Success
[3608311305ns] [INFO] SRC 1 DST 2 received packet number: 0, of messageId: 3 Success
[3608319591ns] [INFO] SRC 1 DST 2 received packet number: 1, of messageId: 3 Success
[3608325994ns] [INFO] SRC 1 DST 2 received packet number: 2, of messageId: 3 Success
[3608332707ns] [INFO] SRC 1 DST 2 received packet number: 3, of messageId: 3 Success
[3608339443ns] [INFO] SRC 1 DST 2 received packet number: 4, of messageId: 3 Success
[7187956795ns] [INFO] connection succeed to client socket number: 3
[7188099844ns] [INFO] SRC 2 DST 0 received packet number: 0, of messageId: 0 Success
[7188115505ns] [INFO] SRC 2 DST 1 received packet number: 0, of messageId: 3 Success
[7188160133ns] [INFO] SRC 2 DST 1 sending packet number: 0, of messageId: 3 Success
[7188170453ns] [INFO] SRC 2 DST 1 received packet number: 1, of messageId: 3 Success
[7188184923ns] [INFO] SRC 2 DST 1 sending packet number: 1, of messageId: 3 Success
[7188191727ns] [INFO] SRC 2 DST 1 received packet number: 2, of messageId: 3 Success
[7188204730ns] [INFO] SRC 2 DST 1 sending packet number: 2, of messageId: 3 Success
[7188211779ns] [INFO] SRC 2 DST 1 received packet number: 3, of messageId: 3 Success
[7188224786ns] [INFO] SRC 2 DST 1 sending packet number: 3, of messageId: 3 Success
[7188232612ns] [INFO] SRC 2 DST 1 received packet number: 4, of messageId: 3 Success
[7188246586ns] [INFO] SRC 2 DST 1 sending packet number: 4, of messageId: 3 Success
[10767215510ns] [INFO] connection succeed to client socket number: 3
[10767295317ns] [INFO] SRC 3 DST 0 received packet number: 0, of messageId: 0 Success
[10767310852ns] [INFO] SRC 3 DST 2 received packet number: 0, of messageId: 5 Success
[10767376363ns] [INFO] SRC 3 DST 2 sending packet number: 0, of messageId: 5 Success
[10767388547ns] [INFO] SRC 3 DST 2 received packet number: 1, of messageId: 5 Success
[10767405383ns] [INFO] SRC 3 DST 2 sending packet number: 1, of messageId: 5 Success
[10767413099ns] [INFO] SRC 3 DST 2 received packet number: 2, of messageId: 5 Success
[10767427547ns] [INFO] SRC 3 DST 2 sending packet number: 2, of messageId: 5 Success
[10767435315ns] [INFO] SRC 3 DST 2 received packet number: 3, of messageId: 5 Success
[10767448772ns] [INFO] SRC 3 DST 2 sending packet number: 3, of messageId: 5 Success
[10767456512ns] [INFO] SRC 3 DST 2 received packet number: 4, of messageId: 5 Success
[10767490444ns] [INFO] SRC 3 DST 2 sending packet number: 4, of messageId: 5 Success
[24100025809ns] [INFO] connection succeed to client socket number: 3
[24100203683ns] [INFO] SRC 10 DST 0 received packet number: 0, of messageId: 0 Success
[24407638383ns] [INFO] SRC 10 DST 1 received packet number: 0, of messageId: 11 Success
[24407734764ns] [INFO] SRC 10 DST 1 sending packet number: 0, of messageId: 11 Success
[24407744738ns] [INFO] SRC 10 DST 1 received packet number: 0, of messageId: 11 Success
[24407756064ns] [INFO] SRC 10 DST 1 sending packet number: 0, of messageId: 11 Success
