[167554ns] [INFO] create a client socket: 3 Success
[415692ns] [INFO] SRC process DST server connection succeed: No such file or directory
[445709ns] [INFO] SRC 1 DST 0 sending packet number: 0, of messageId: 0 No such file or directory
[533677ns] [INFO] SRC 1 DST 2 sending packet number: 0, of messageId: 3 No such file or directory
[546135ns] [INFO] SRC 1 DST 2 sending packet number: 1, of messageId: 3 No such file or directory
[554622ns] [INFO] SRC 1 DST 2 sending packet number: 2, of messageId: 3 No such file or directory
[562545ns] [INFO] SRC 1 DST 2 sending packet number: 3, of messageId: 3 No such file or directory
[570413ns] [INFO] SRC 1 DST 2 sending packet number: 4, of messageId: 3 No such file or directory
[3580646564ns] [INFO] SRC 2 DST 1 received packet number: 0, of messageId: 3 Success
[3580678849ns] [INFO] SRC 2 DST 1 received packet number: 1, of messageId: 3 Success
[3580689702ns] [INFO] SRC 2 DST 1 received packet number: 2, of messageId: 3 Success
[3580701271ns] [INFO] SRC 2 DST 1 received packet number: 3, of messageId: 3 Success
[3580710809ns] [INFO] SRC 2 DST 1 received packet number: 4, of messageId: 3 Success
[20800217481ns] [INFO] SRC 10 DST 1 received packet number: 0, of messageId: 11 Success
[20800266245ns] [INFO] SRC 10 DST 1 received packet number: 0, of messageId: 11 Success
[1617274632964ns] [INFO] SRC 10 DST 1  connection closed: in socket3 Success
